Element Code,System,Table,Element,System Type,Level,HIV,Program Area,Goals,Overlap HIV,Goal1,Goal2,Goal3
1A,Register-ANC,ANC,Antenatal Drugs,Paper,Facility,Y,PMTCT,16,Q,Drugs,PMTCT,-
2A,Register-ANC,ANC,Appoint Date,Paper,Facility,Y,PMTCT,6,N,PMTCT,-,-
3A,Register-ANC,ANC,Area of Residence,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
4A,Register-ANC,ANC,Availabe TR,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
5A,Register-ANC,ANC,Baby Info,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
6A,Register-ANC,ANC,Bed net,Paper,Facility,Y,PMTCT,6,N,PMTCT,-,-
7A,Register-ANC,ANC,Blood Pressure,Paper,Facility,Y,PMTCT,6,N,PMTCT,-,-
8A,Register-ANC,ANC,Cellphone,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
9A,Register-ANC,ANC,Danger signs,Paper,Facility,Y,PMTCT,6,N,PMTCT,-,-
10A,Register-ANC,ANC,Delivered Preg,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
11A,Register-ANC,ANC,DoB,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
12A,Register-ANC,ANC,Ever had SH,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
13A,Register-ANC,ANC,Fetal Heart Beat,Paper,Facility,Y,PMTCT,6,N,PMTCT,-,-
14A,Register-ANC,ANC,First Name,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
15A,Register-ANC,ANC,Fundus (wks),Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
16A,Register-ANC,ANC,Gestation,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
17A,Register-ANC,ANC,Gravida,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
18A,Register-ANC,ANC,Height,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
19A,Register-ANC,ANC,HIV Test Date,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
20A,Register-ANC,ANC,HIV Test results,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
21A,Register-ANC,ANC,Home Add,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
22A,Register-ANC,ANC,Home Village,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
23A,Register-ANC,ANC,Landamark,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
24A,Register-ANC,ANC,Last Name,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
25A,Register-ANC,ANC,LMP,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
26A,Register-ANC,ANC,Location,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
27A,Register-ANC,ANC,Multiple Preg?,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
28A,Register-ANC,ANC,Nationality,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
29A,Register-ANC,ANC,Occupation,Paper,Facility,Y,DEMO,6,Y,PMTCT,-,-
30A,Register-ANC,ANC,Past complications,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
31A,Register-ANC,ANC,Planned Delivery,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
32A,Register-ANC,ANC,Presentation,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
33A,Register-ANC,ANC,Prev complications,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
34A,Register-ANC,ANC,Prev Ttv,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
35A,Register-ANC,ANC,Surgical done before,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
36A,Register-ANC,ANC,T/A,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
37A,Register-ANC,ANC,Text,Paper,Facility,Y,PMTCT,6,N,PMTCT,-,-
38A,Register-ANC,ANC,Ttv,Paper,Facility,Y,PMTCT,6,Q,PMTCT,-,-
39A,Register-ANC,ANC,Visit Type,Paper,Facility,Y,PMTCT,6,N,PMTCT,-,-
40A,Register-ANC,ANC,Weight,Paper,Facility,Y,PMTCT,6,Y,PMTCT,-,-
41A,BHT-EMR,BART,Ancestral Traditional Authority Area of residence,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
42A,BHT-EMR,BART,ART number at Previous Location,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
43A,BHT-EMR,BART,ART regimen,Electronic,Facility,Y,ART,14,Y,Drugs,Retention,-
44A,BHT-EMR,BART,ART related symptoms,Electronic,Facility,Y,ART,4,-,Retention,-,-
45A,BHT-EMR,BART,CD4 /Lympocyte Count Location,Electronic,Facility,Y,ART,4,N,Retention,-,-
46A,BHT-EMR,BART,CD4 Count,Electronic,Facility,Y,ART,4,Y,Retention,-,-
47A,BHT-EMR,BART,CD4 Count date,Electronic,Facility,Y,ART,4,N,Retention,-,-
48A,BHT-EMR,BART,CD4 Count Location,Electronic,Facility,Y,ART,4,N,Retention,-,-
49A,BHT-EMR,BART,Cell Phone,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
50A,BHT-EMR,BART,Clinical Notes,Electronic,Facility,Y,ART,4,N,Retention,-,-
51A,BHT-EMR,BART,Closest Landmark,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
52A,BHT-EMR,BART,Confirmatory HIV Test year,Electronic,Facility,Y,ART,4,Y,Retention,-,-
53A,BHT-EMR,BART,Confirmatory test,Electronic,Facility,Y,ART,4,Y,Retention,-,-
54A,BHT-EMR,BART,Confirmatory test centre,Electronic,Facility,Y,ART,4,Y,Retention,-,-
55A,BHT-EMR,BART,Cotrimoxaxole dosage,Electronic,Facility,Y,ART,4,Q,Retention,-,-
56A,BHT-EMR,BART,CPT prescription,Electronic,Facility,Y,ART,4,Q,Retention,-,-
57A,BHT-EMR,BART,Current District,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
58A,BHT-EMR,BART,Current Region,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
59A,BHT-EMR,BART,Date ART started,Electronic,Facility,Y,ART,4,Y,Retention,-,-
60A,BHT-EMR,BART,Date of Birth,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
61A,BHT-EMR,BART,Date of CD4 Count,Electronic,Facility,Y,ART,4,Y,Retention,-,-
62A,BHT-EMR,BART,Day ART last taken,Electronic,Facility,Y,ART,4,Y,Retention,-,-
63A,BHT-EMR,BART,Dose strength,Electronic,Facility,Y,ART,14,Y,Drugs,Retention,-
64A,BHT-EMR,BART,Drug dispensation,Electronic,Facility,Y,ART,14,Y,Drugs,Retention,-
65A,BHT-EMR,BART,Duration,Electronic,Facility,Y,ART,4,Q,Retention,-,-
66A,BHT-EMR,BART,First Name,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
67A,BHT-EMR,BART,Formulation,Electronic,Facility,Y,ART,4,Y,Retention,-,-
68A,BHT-EMR,BART,Frequency,Electronic,Facility,Y,ART,4,Y,Retention,-,-
69A,BHT-EMR,BART,Gender,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
70A,BHT-EMR,BART,Generic drug,Electronic,Facility,Y,ART,14,Y,Drugs,Retention,-
71A,BHT-EMR,BART,Ground Phone Number,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
72A,BHT-EMR,BART,Height,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
73A,BHT-EMR,BART,Home District,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
74A,BHT-EMR,BART,Home Village,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
75A,BHT-EMR,BART,Initial CD4 Count,Electronic,Facility,Y,ART,4,Y,Retention,-,-
76A,BHT-EMR,BART,Initial CD4 Percent,Electronic,Facility,Y,ART,4,Y,Retention,-,-
77A,BHT-EMR,BART,Initial height,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
78A,BHT-EMR,BART,Initial weight,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
79A,BHT-EMR,BART,Last ARVs drugs taken,Electronic,Facility,Y,ART,4,Y,Retention,-,-
80A,BHT-EMR,BART,Last Name,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
81A,BHT-EMR,BART,Location of ART Initiation,Electronic,Facility,Y,ART,4,Y,Retention,-,-
82A,BHT-EMR,BART,Location of confirmatory HIV test,Electronic,Facility,Y,ART,4,Y,Retention,-,-
83A,BHT-EMR,BART,Location/Village,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
84A,BHT-EMR,BART,Lymphocyte count date,Electronic,Facility,Y,ART,4,Y,Retention,-,-
85A,BHT-EMR,BART,Lymphocyte Count Results,Electronic,Facility,Y,ART,4,Y,Retention,-,-
86A,BHT-EMR,BART,Lymphocyte Count Results availability,Electronic,Facility,Y,ART,4,Y,Retention,-,-
87A,BHT-EMR,BART,Middle name,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
88A,BHT-EMR,BART,Month ART started,Electronic,Facility,Y,ART,4,Y,Retention,-,-
89A,BHT-EMR,BART,Month of Birth,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
90A,BHT-EMR,BART,Month of CD4 Count,Electronic,Facility,Y,ART,4,Y,Retention,-,-
91A,BHT-EMR,BART,Moth ART last taken,Electronic,Facility,Y,ART,4,Y,Retention,-,-
92A,BHT-EMR,BART,Need for follow up for HIV care,Electronic,Facility,Y,ART,4,Y,Retention,-,-
93A,BHT-EMR,BART,Need for HIV care follow up,Electronic,Facility,Y,ART,4,Y,Retention,-,-
94A,BHT-EMR,BART,Need to prescribe ARVs,Electronic,Facility,Y,ART,4,Y,Retention,-,-
95A,BHT-EMR,BART,Need to Prescribe drugs,Electronic,Facility,Y,ART,4,Y,Retention,-,-
96A,BHT-EMR,BART,Next visit date,Electronic,Facility,Y,ART,4,N,Retention,-,-
97A,BHT-EMR,BART,Number of condoms given,Electronic,Facility,Y,ART,4,N,Retention,-,-
98A,BHT-EMR,BART,Occupation,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
99A,BHT-EMR,BART,Patient Breast feedin,Electronic,Facility,Y,ART,4,Y,Retention,-,-
100A,BHT-EMR,BART,Patient Pregnant,Electronic,Facility,Y,ART,4,Y,Retention,-,-
101A,BHT-EMR,BART,Previous ART clinic Registration,Electronic,Facility,Y,ART,4,Y,Retention,-,-
102A,BHT-EMR,BART,Previous ART Treatment or not,Electronic,Facility,Y,ART,4,Y,Retention,-,-
103A,BHT-EMR,BART,PRN,Electronic,Facility,Y,ART,4,Q,Retention,-,-
104A,BHT-EMR,BART,Quantity,Electronic,Facility,Y,ART,14,Y,Drugs,Retention,-
105A,BHT-EMR,BART,Reason for ART Eligibility,Electronic,Facility,Y,ART,4,Y,Retention,-,-
106A,BHT-EMR,BART,Recent CD4 Count results,Electronic,Facility,Y,ART,4,Y,Retention,-,-
107A,BHT-EMR,BART,Referal to clinician,Electronic,Facility,Y,ART,4,Y,Retention,-,-
108A,BHT-EMR,BART,Region of Origin,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
109A,BHT-EMR,BART,Stage information,Electronic,Facility,Y,ART,4,Y,Retention,-,-
110A,BHT-EMR,BART,Stages 1-2-3-4,Electronic,Facility,Y,ART,4,Y,Retention,-,-
111A,BHT-EMR,BART,Sulphur Alergy,Electronic,Facility,Y,ART,4,Y,Retention,-,-
112A,BHT-EMR,BART,TA/Area of residence,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
113A,BHT-EMR,BART,TB Associated Symptoms,Electronic,Facility,Y,ART,4,Y,Retention,-,-
114A,BHT-EMR,BART,TB status,Electronic,Facility,Y,ART,4,Y,Retention,-,-
115A,BHT-EMR,BART,Type of Confirmatory HIV test,Electronic,Facility,Y,ART,4,Y,Retention,-,-
116A,BHT-EMR,BART,Type of prescription Standard or variable,Electronic,Facility,Y,ART,4,Y,Retention,-,-
117A,BHT-EMR,BART,Type of relationship with patient,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
118A,BHT-EMR,BART,Usage of family planning methods,Electronic,Facility,Y,ART,4,Y,Retention,-,-
119A,BHT-EMR,BART,Weight,Electronic,Facility,Y,ART,4,Y,Retention,-,-
120A,BHT-EMR,BART,Year ART last taken,Electronic,Facility,Y,ART,4,Y,Retention,-,-
121A,BHT-EMR,BART,Year ART started,Electronic,Facility,Y,ART,4,Y,Retention,-,-
122A,BHT-EMR,BART,Year of Birth/age estimate,Electronic,Facility,Y,DEMO,4,Y,Retention,-,-
123A,BHT-EMR,BART,Year of CD4 count,Electronic,Facility,Y,ART,4,Y,Retention,-,-
124A,DHA-MIS,DHA,% of ANC women HIV+,Electronic,Central,Y,PMTCT,346,Y,Linkage ,Retention,PMTCT
125A,DHA-MIS,DHA,% of ANC women with HIV status ascertained,Electronic,Central,Y,PMTCT,346,Y,Linkage ,Retention,PMTCT
126A,DHA-MIS,DHA,% of HIV+ ANC women on ART,Electronic,Central,Y,PMTCT,346,Y,Linkage ,Retention,PMTCT
127A,DHA-MIS,DHA,(pre-) Eclampsia,Electronic,Central,Y,PMTCT,46,Y,Retention,PMTCT,-
128A,DHA-MIS,DHA,1,-,-,-,-,-,-,-,-,-
129A,DHA-MIS,DHA,10,-,-,-,-,-,-,-,-,-
130A,DHA-MIS,DHA,11,-,-,-,-,-,-,-,-,-
131A,DHA-MIS,DHA,12,-,-,-,-,-,-,-,-,-
132A,DHA-MIS,DHA,12 month survival adults (non B+),Electronic,Central,Y,ART,4,Q,Retention,-,-
133A,DHA-MIS,DHA,12 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
134A,DHA-MIS,DHA,12 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
135A,DHA-MIS,DHA,15,-,-,-,-,-,-,-,-,-
136A,DHA-MIS,DHA,16,-,-,-,-,-,-,-,-,-
137A,DHA-MIS,DHA,17,-,-,-,-,-,-,-,-,-
138A,DHA-MIS,DHA,18 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
139A,DHA-MIS,DHA,1st follow-up visit,Electronic,Central,Y,ART,4,Q,Retention,-,-
140A,DHA-MIS,DHA,1st month of quarter,Electronic,Central,Y,ART,4,Q,Retention,-,-
141A,DHA-MIS,DHA,2,-,-,-,-,-,-,-,-,-
142A,DHA-MIS,DHA,24 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
143A,DHA-MIS,DHA,24 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
144A,DHA-MIS,DHA,24-72hrs,Electronic,Central,Y,ART,4,Q,Retention,-,-
145A,DHA-MIS,DHA,2nd  follow-up visit,Electronic,Central,Y,ART,4,Q,Retention,-,-
146A,DHA-MIS,DHA,2nd month of quarter,Electronic,Central,Y,ART,4,Q,Retention,-,-
147A,DHA-MIS,DHA,3,-,-,-,-,-,-,-,-,-
148A,DHA-MIS,DHA,"3 chairs, table, testing surface",Electronic,Central,Y,OTHER,7,Q,Resource targeting ,-,-
149A,DHA-MIS,DHA,36 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
150A,DHA-MIS,DHA,36 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
151A,DHA-MIS,DHA,36 month survival OptionB+,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
152A,DHA-MIS,DHA,3rd month of quarter,Electronic,Central,Y,ART,4,Q,Retention,-,-
153A,DHA-MIS,DHA,3TC,Electronic,Central,Y,ART,4,Q,Retention,-,-
154A,DHA-MIS,DHA,4,-,-,-,-,-,-,-,-,-
155A,DHA-MIS,DHA,48 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
156A,DHA-MIS,DHA,48 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
157A,DHA-MIS,DHA,48 month survival OptionB+,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
158A,DHA-MIS,DHA,5,-,-,-,-,-,-,-,-,-
159A,DHA-MIS,DHA,5-9 days,Electronic,Central,Y,ART,4,Q,Retention,-,-
160A,DHA-MIS,DHA,6,-,-,-,-,-,-,-,-,-
161A,DHA-MIS,DHA,6 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
162A,DHA-MIS,DHA,6 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
163A,DHA-MIS,DHA,60 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
164A,DHA-MIS,DHA,60 month survival children,Electronic,Central,Y,ART,4,Q,Retention,-,-
165A,DHA-MIS,DHA,7,-,-,-,-,-,-,-,-,-
166A,DHA-MIS,DHA,72 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
167A,DHA-MIS,DHA,72 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
168A,DHA-MIS,DHA,8,-,-,-,-,-,-,-,-,-
169A,DHA-MIS,DHA,84 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
170A,DHA-MIS,DHA,84 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
171A,DHA-MIS,DHA,9,-,-,-,-,-,-,-,-,-
172A,DHA-MIS,DHA,96 month survival all ages,Electronic,Central,Y,ART,4,Q,Retention,-,-
173A,DHA-MIS,DHA,96 month survival children,Electronic,Central,Y,ART,46,Q,Retention,PMTCT,-
174A,DHA-MIS,DHA,ABC,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
175A,DHA-MIS,DHA,ABC / 3TC,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
176A,DHA-MIS,DHA,Aciclovir,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
177A,DHA-MIS,DHA,Adherence recorded,Electronic,Central,Y,ART,4,N,Retention,-,-
178A,DHA-MIS,DHA,Adherence unknown (not recorded),Electronic,Central,Y,ART,4,N,Retention,-,-
179A,DHA-MIS,DHA,Ad-hoc allocation from warehouse,Electronic,Central,Y,ART,4,Q,Retention,-,-
180A,DHA-MIS,DHA,Admissions in the reporting period,Electronic,Central,Y,ART,4,Y,Retention,-,-
181A,DHA-MIS,DHA,Adult / paed formulation,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
182A,DHA-MIS,DHA,Adult formulation,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
183A,DHA-MIS,DHA,Adult formulation drug,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
184A,DHA-MIS,DHA,Adult second line,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
185A,DHA-MIS,DHA,Adults 15+ years,Electronic,Central,Y,ART,4,Y,Retention,-,-
186A,DHA-MIS,DHA,Adults 15+ yrs,Electronic,Central,Y,ART,4,Y,Retention,-,-
187A,DHA-MIS,DHA,AEHO Assitant Environmental Health Officer,Electronic,Central,Y,OTHER,8,Y,Performance management ,-,-
188A,DHA-MIS,DHA,After 72hrs,Electronic,Central,Y,ART,4,Q,Retention,-,-
189A,DHA-MIS,DHA,After 9 days,Electronic,Central,Y,ART,4,Q,Retention,-,-
190A,DHA-MIS,DHA,Age,Electronic,Central,Y,DEMO,4,Y,Retention,-,-
191A,DHA-MIS,DHA,Age 12 months,Electronic,Central,Y,DEMO,4,Q,Retention,-,-
192A,DHA-MIS,DHA,Age 2 months,Electronic,Central,Y,DEMO,4,Q,Retention,-,-
193A,DHA-MIS,DHA,Age 24 months,Electronic,Central,Y,DEMO,4,Q,Retention,-,-
194A,DHA-MIS,DHA,Age at ART initiation,Electronic,Central,Y,DEMO,4,Q,Retention,-,-
195A,DHA-MIS,DHA,Age at registration,Electronic,Central,Y,DEMO,4,Q,Retention,-,-
196A,DHA-MIS,DHA,Age cohorts (birth month),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
197A,DHA-MIS,DHA,Age group,Electronic,Central,Y,DEMO,4,Q,Retention,-,-
198A,DHA-MIS,DHA,Age group A (0-19 years),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
199A,DHA-MIS,DHA,Age group A (less than 1month),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
200A,DHA-MIS,DHA,Age group B (1month -14yrs),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
201A,DHA-MIS,DHA,Age group B (20-24 years),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
202A,DHA-MIS,DHA,Age group C ( 15-24yrs),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
203A,DHA-MIS,DHA,Age group C (25+ years),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
204A,DHA-MIS,DHA,Age group D ( 25yrs and over),Electronic,Central,Y,DEMO,4,Q,Retention,-,-
205A,DHA-MIS,DHA,Albendazole,Electronic,Central,Y,ART,14,Y,Drugs,Retention,-
206A,DHA-MIS,DHA,Alive HIV exposed,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
207A,DHA-MIS,DHA,Alive HIV exposed AZT,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
208A,DHA-MIS,DHA,Alive HIV exposed no ARV,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
209A,DHA-MIS,DHA,Alive HIV exposed NVP,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
210A,DHA-MIS,DHA,Alive HIV exposed NVP+AZT,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
211A,DHA-MIS,DHA,Alive HIV exposure unknown,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
212A,DHA-MIS,DHA,Alive not HIV exposed,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
213A,DHA-MIS,DHA,All patients (checked data),Electronic,Central,Y,ART,4,N,Retention,-,-
214A,DHA-MIS,DHA,All patients (unchecked data),Electronic,Central,Y,ART,4,N,Retention,-,-
215A,DHA-MIS,DHA,Already on ART,Electronic,Central,Y,ART,4,Y,Retention,-,-
216A,DHA-MIS,DHA,Already on ART (TB prog),Electronic,Central,Y,ART,4,Y,Retention,-,-
217A,DHA-MIS,DHA,Alternative first line unspecified,Electronic,Central,Y,ART,146,Y,Drugs,Retention,PMTCT
218A,DHA-MIS,DHA,Amitriptylline,Electronic,Central,Y,ART,14,Y,Drugs,Retention,-
219A,DHA-MIS,DHA,Amoxicillin / Clavulanic acid,Electronic,Central,Y,ART,14,Y,Drugs,Retention,-
220A,DHA-MIS,DHA,ANC,Electronic,Central,N,SYSATTR,NA,Y,-,-,-
221A,DHA-MIS,DHA,ANC / Mat services at this site,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
