ID,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,SOURCE TYPE,FREQUENCY,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,LEVEL
1001A,DM,Drugs,MI,PLAN,MI,NA,MI,Missing Information,Planning,Missing Information,Central
1001A,DM,Drugs,MI,PLAN,MI,NA,MI,Missing Information,Planning,Missing Information,Central
1001A,DM,Drugs,MI,DESIGN,MI,NA,MI,Missing Information,Program Design,Missing Information,Central
1001A,DM,Drugs,MI,STAFFING,MI,NA,MI,Missing Information,Staffing/Workload,Missing Information,Central
1001A,DM,Drugs,MI,MODEL,MI,NA,MI,Missing Information,Data Modeling,Missing Information,Central
1001A,DM,HTC,MI,DESIGN,MI,NA,MI,Missing Information,Program Design,Missing Information,Central
1001A,DM,HTC,MI,COORDINATE,MI,NA,MI,Missing Information,Partner/Stakeholder Coordination,Missing Information,Central
1001A,DM,Performance management,MI,ADJUST,MI,NA,MI,Missing Information,Adjust Program Based On Performance,Missing Information,Central
1001A,DM,Program Efficiency,MI,PLAN,BUDGET,Management Tool,MI,Missing Information,Planning,Facility or Regional Budget,Central
1001A,DM,Program Efficiency,MI,PLAN,BUDGET,Management Tool,MI,Missing Information,Planning,Facility or Regional Budget,Central
1001A,DM,Program Efficiency,MI,PLAN,MEETING BUDGET,Meeting or group,MI,Missing Information,Planning,Budget Meeting,Central
1001A,DM,Program Efficiency,MI,PLAN,MEETING BUDGET,Meeting or group,MI,Missing Information,Planning,Budget Meeting,Central
1001A,DM,Program Efficiency,MI,PLAN,SURVEY,Research,MI,Missing Information,Planning,Survey,Central
1001A,DM,Program Efficiency,MI,PLAN,SURVEY,Research,MI,Missing Information,Planning,Survey,Central
1001A,DM,Program Efficiency,MI,PLAN,RESEARCH,Research,MI,Missing Information,Planning,Research,Central
1001A,DM,Program Efficiency,MI,PLAN,RESEARCH,Research,MI,Missing Information,Planning,Research,Central
1001A,DM,Program Efficiency,MI,PLAN,CMED,Program Office or Location,MI,Missing Information,Planning,Central Monitoring and Evaluation Division (CMED),Central
1001A,DM,Program Efficiency,MI,PLAN,CMED,Program Office or Location,MI,Missing Information,Planning,Central Monitoring and Evaluation Division (CMED),Central
1001A,DM,Program Efficiency,MI,BUDGET,BUDGET,Management Tool,MI,Missing Information,Facility or Regional Budget,Facility or Regional Budget,Central
1001A,DM,Program Efficiency,MI,BUDGET,BUDGET,Management Tool,MI,Missing Information,Facility or Regional Budget,Facility or Regional Budget,Central
1001A,DM,Program Efficiency,MI,BUDGET,MEETING BUDGET,Meeting or group,MI,Missing Information,Facility or Regional Budget,Budget Meeting,Central
1001A,DM,Program Efficiency,MI,BUDGET,MEETING BUDGET,Meeting or group,MI,Missing Information,Facility or Regional Budget,Budget Meeting,Central
1001A,DM,Program Efficiency,MI,BUDGET,SURVEY,Research,MI,Missing Information,Facility or Regional Budget,Survey,Central
1001A,DM,Program Efficiency,MI,BUDGET,SURVEY,Research,MI,Missing Information,Facility or Regional Budget,Survey,Central
1001A,DM,Program Efficiency,MI,BUDGET,RESEARCH,Research,MI,Missing Information,Facility or Regional Budget,Research,Central
1001A,DM,Program Efficiency,MI,BUDGET,RESEARCH,Research,MI,Missing Information,Facility or Regional Budget,Research,Central
1001A,DM,Program Efficiency,MI,BUDGET,CMED,Program Office or Location,MI,Missing Information,Facility or Regional Budget,Central Monitoring and Evaluation Division (CMED),Central
1001A,DM,Program Efficiency,MI,BUDGET,CMED,Program Office or Location,MI,Missing Information,Facility or Regional Budget,Central Monitoring and Evaluation Division (CMED),Central
1003A,DM,Drugs,TREAT,DRUG SUPPLY,SUPVISIT,Management Tool,QUARTERLY,Patients Treated,Drug Supply,Data Is Accessed During Supervision Visits,Central
1003A,DM,Drugs,DRUG SUPPLY,DRUG SUPPLY,SUPVISIT,Management Tool,QUARTERLY,Drug Supply,Drug Supply,Data Is Accessed During Supervision Visits,Central
1003A,DM,HTC,TEST HIV,PROGTARGET,MI,NA,MI,Test HIV,Program Targeting,Missing Information,Central
1003A,DM,HTC,DRUG SUPPLY,PROGTARGET,MI,NA,MI,Drug Supply,Program Targeting,Missing Information,Central
1003A,DM,HTC,DRUG EXPIRY,PROGTARGET,MI,NA,MI,Drug Expiry,Program Targeting,Missing Information,Central
1003A,DM,HTC,DRUG STOCKOUT,PROGTARGET,MI,NA,MI,Drug Stock Out,Program Targeting,Missing Information,Central
1003A,DM,Linkage,MI,STANDARD,MI,NA,MI,Missing Information,Standardize Program,Missing Information,Central
1003A,DM,Retention,MI,STANDARD,MI,NA,MI,Missing Information,Standardize Program,Missing Information,Central
1003A,DM,Performance management,TREAT,PROGPERFORM,MI,NA,MI,Patients Treated,Program Performance,Missing Information,Central
1003A,DM,Program Efficiency,TREAT,RESMOB,MI,NA,MI,Patients Treated,Resource Mobilization,Missing Information,Central
1006A,DM,Drugs,MI,PROTOADHERE,PARTNER,External Partner,QUARTERLY,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,Central
1006A,DM,Drugs,MI,PROTOADHERE,PARTNER,External Partner,QUARTERLY,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,Central
1006A,DM,Drugs,MI,PROTOADHERE,PARTNER,External Partner,QUARTERLY,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,Central
